PassengerId,Sex,SibSp,Parch,Fare,Cabin,Embarked
868,male,0,0,50.4958,A,S
869,male,0,0,9.5,N,S
870,male,1,1,11.1333,N,S
871,male,0,0,7.8958,N,S
872,female,1,1,52.5542,D,S
873,male,0,0,5,B,S
874,male,0,0,9,N,S
875,female,1,0,24,N,C
876,female,0,0,7.225,N,C
877,male,0,0,9.8458,N,S
878,male,0,0,7.8958,N,S
879,male,0,0,7.8958,N,S
880,female,0,1,83.1583,C,C
881,female,0,1,26,N,S
882,male,0,0,7.8958,N,S
883,female,0,0,10.5167,N,S
884,male,0,0,10.5,N,S
885,male,0,0,7.05,N,S
886,female,0,5,29.125,N,Q
887,male,0,0,13,N,S
888,female,0,0,30,B,S
889,female,1,2,23.45,N,S
890,male,0,0,30,C,C
891,male,0,0,7.75,N,Q
